English,POS,Chinese_1,Chinese_2,Example,Course,Date,Correct,Total,srs_interval,srs_ease,srs_due,srs_streak,srs_last_review
adult,,成人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
handsome,,帥的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
funny,,好笑、古怪的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
angel,,天使,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
heavy,,重的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
gentle,,溫和的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
baby,,嬰兒、寶貝,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
nice-looking,,好看的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
generous,,大方、慷慨的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
boy,,男孩,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
old,,老的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
good,,好的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
child,,小孩,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
over-weight,,超重的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
greedy,,貪心的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
couple,,情侶、夫妻,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
pretty,,美麗、可愛的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
happy,,快樂的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
customer,,顧客,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
short,,短的、矮的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
hard-working,,努力認真的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
fool,,呆子,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
skinny,,皮包骨的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
honest,,誠實的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
genius,,天才,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
slender,,苗條、纖細的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
humble,,謙虛的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
gentleman,,紳士,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
slim,,苗條、纖細的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
humorous,,幽默的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
giant,,巨人,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
tall,,高的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
impolite,,不禮貌的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
girl,,女孩,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
thin,,瘦的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
intelligent,,有才智的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
guest,,客人、來賓,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
under-weight,,過輕的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
interested,,感到有興趣的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
guy,,傢伙,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
ugly,,醜的,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
jealous,,忌妒的,,,國小1200-外貌、個性特徵,2026-03-07,0,0,0,2.5,,0,
hero,,英雄,,,國小1200-人物,2026-03-07,0,0,0,2.5,,0,
